"ccnl personale anpas e realtà operanti ambito sociosanitario, assistenziale,educativo,delle pubbliche assistenze 2017 2019 - 2017",ccnl-personale-anpas-e-realt-operanti-ambito-sociosanitario-assistenziale-educativo-delle-pubbliche-assistenze-2017-2019,Italy,it,2017
ccnl personale fondazioni 2016 2018 - 2016,ccnl-personale-fondazioni-2016-2018,Italy,it,2016
ccnl personale impiegatizio e quadro agenzia demanio ente pubblico economico 2016 2018 - 2016,ccnl-personale-impiegatizio-e-quadro-agenzia-demanio-ente-pubblico-economico-2016-2018,Italy,it,2016
ccnl personale non dirigente coni servizi spa e federazioni sportive nazionali 2015 2017 - 2015,ccnl-personale-non-dirigente-coni-servizi-spa-e-federazioni-sportive-nazionali-2015-2017,Italy,it,2015
ccnl istituti e imprese vigilanza privata e servizi fiduciari assicurezza - 2013,ccnl-istituti-e-imprese-vigilanza-privata-e-servizi-fiduciari-assicurezza,Italy,it,2013
ccnl personale non dirigente poste italiane - 2017,ccnl-personale-non-dirigente-poste-italiane,Italy,it,2017
"ccnl industria della carta e cartone, cellulosa, pasta legno, fibra vulcanizzata, aziende cartotecniche e trasformatrici della carta 2017-2019 - 2017",ccnl-industria-della-carta-e-cartone-cellulosa-pasta-legno-fibra-vulcanizzata-aziende-cartotecniche-e-trasformatrici-della-carta-2017-2019,Italy,it,2017
"ccnl dipendenti imprese gestite e partecipate da enti locali,esercenti farmacie, parafarmacie, magazzini all'ingrosso e laboratori 2013-2015 - 2013",ccnl-dipendenti-imprese-gestite-e-partecipate-da-enti-locali-esercenti-farmacie-parafarmacie-magazzini-all-ingrosso-e-laboratori-2013-2015,Italy,it,2013
ccnl dipendenti da istituti e imprese di vigilanza privata e servizi fiduciari 2013-2015 - 2013,ccnl-dipendenti-da-istituti-e-imprese-di-vigilanza-privata-e-servizi-fiduciari-2013-2015,Italy,it,2013
ccnl dipendenti dai consorzi di bonifica e di miglioramento fondiario 2015-2018 - 2015,ccnl-dipendenti-dai-consorzi-di-bonifica-e-di-miglioramento-fondiario-2015-2018,Italy,it,2015
ccnl personale non direttivo e non dirigente del corpo nazionale dei vigili del fuoco 2016-2018 - 2016,ccnl-personale-non-direttivo-e-non-dirigente-del-corpo-nazionale-dei-vigili-del-fuoco-2016-2018,Italy,it,2016
"ccnl dipendenti da aziende dei settori pubblici esercizi, ristorazione collettiva e commerciale e turismo 2018-2021 - 2018",ccnl-dipendenti-da-aziende-dei-settori-pubblici-esercizi-ristorazione-collettiva-e-commerciale-e-turismo-2018-2021,Italy,it,2018
"ccnl dipendenti aziende esercenti produzione cemento, calce e suoi derivati, gesso e relativi manufatti 2016-2018 - 2016",-ccnl-dipendenti-aziende-esercenti-produzione-cemento-calce-e-suoi-derivati-gesso-e-relativi-manufatti-2016-2018-,Italy,it,2016
ccnl addetti all'industria dell'energia e del petrolio 2016-2018 - 2016,ccnl-addetti-all-industria-dell-energia-e-del-petrolio-2016-2018,Italy,it,2016
ccnl lavoratori dei porti 2016-2018 - 2016,ccnl-lavoratori-dei-porti-2016-2018,Italy,it,2016
